timestamp,key,time_diff
1771422616.0146573,;,4.2622
1771422616.037688,d,0.023
1771422616.1146152,j,0.0769
1771422616.1670446,f,0.0524
1771422616.2105846,g,0.0435
1771422616.2231035,h,0.0125
1771422616.243564,Key.space,0.0205
1771422616.3100796,s,0.0665
1771422616.3979385,f,0.0879
1771422616.4735494,g,0.0756
1771422616.489546,j,0.016
1771422616.552925,h,0.0634
1771422616.6533475,z,0.1004
1771422616.6817436,f,0.0284
1771422616.7022262,',0.0205
1771422616.705229,l,0.003
1771422616.8113163,h,0.1061
1771422616.849838,n,0.0385
1771422616.9329383,Key.space,0.0831
1771422616.9859178,d,0.053
1771422616.998114,l,0.0122
1771422617.0092938,f,0.0112
1771422617.1185048,b,0.1092
1771422617.1340213,Key.space,0.0155
1771422617.237631,d,0.1036
1771422617.2600164,;,0.0224
1771422617.2650208,f,0.005
1771422617.292641,z,0.0276
1771422617.3136532,j,0.021
1771422617.441237,b,0.1276
1771422617.5729184,l,0.1317
1771422617.7002666,v,0.1273
1771422617.7058043,Key.space,0.0055
1771422617.7878475,s,0.082
1771422617.7988591,d,0.011
1771422617.8009105,l,0.0021
1771422617.9138968,v,0.113
1771422617.929438,n,0.0155
1771422617.947757,Key.space,0.0183
1771422618.038996,l,0.0912
1771422618.165355,z,0.1264
1771422618.1863778,n,0.021
1771422618.2190115,v,0.0326
1771422618.3225408,l,0.1035
1771422618.3447905,s,0.0222
1771422618.4698038,v,0.125
1771422618.4872208,n,0.0174
1771422618.5082147,Key.space,0.021
1771422618.5578828,.,0.0497
1771422618.5971894,d,0.0393
1771422618.6040618,j,0.0069
1771422618.7215881,n,0.1175
1771422618.7331045,b,0.0115
1771422618.7921402,.,0.059
1771422618.852862,d,0.0607
1771422618.9564357,n,0.1036
1771422618.9890435,b,0.0326
1771422619.0711052,/,0.0821
1771422619.0879745,l,0.0169
1771422619.103815,d,0.0158
1771422619.2076566,n,0.1038
1771422619.2743723,b,0.0667
1771422619.3000443,l,0.0257
1771422619.3070412,k,0.007
1771422619.3602564,f,0.0532
1771422619.4859464,m,0.1257
1771422619.5840328,,0.0981
1771422619.5951264,f,0.0111
1771422619.7099788,k,0.1149
1771422619.7374592,Key.enter,0.0275
1771422619.941389,Key.enter,0.2039
1771422619.9683914,k,0.027
1771422620.0774617,g,0.1091
1771422620.0824711,f,0.005
1771422620.1707191,Key.left,0.0882
1771422620.2242596,k,0.0535
1771422620.2694256,Key.right,0.0452
1771422620.273809,Key.up,0.0044
1771422620.3446195,f,0.0708
1771422620.4122822,Key.left,0.0677
1771422620.4600317,k,0.0477
1771422620.470114,Key.home,0.0101
1771422620.529727,Key.right,0.0596
1771422620.5327277,Key.page_down,0.003
1771422620.5682352,f,0.0355
1771422620.5927727,g,0.0245
1771422620.672166,Key.home,0.0794
1771422620.7340825,k,0.0619
1771422620.7933388,Key.right,0.0593
1771422620.8118665,Key.up,0.0185
1771422620.8807275,f,0.0689
1771422620.9401104,Key.home,0.0594
1771422620.9509892,Key.down,0.0109
1771422621.0169752,k,0.066
1771422621.0549982,Key.right,0.038
1771422621.0709982,Key.up,0.016
1771422621.1643834,g,0.0934
1771422621.1929657,Key.down,0.0286
1771422621.2896671,Key.right,0.0967
1771422621.3820817,f,0.0924
1771422621.4309325,Key.down,0.0489
1771422621.5517495,n,0.1208
1771422621.5542576,j,0.0025
1771422621.5557492,Key.right,0.0015
1771422621.6503723,f,0.0946
1771422621.6563725,g,0.006
1771422621.760315,Key.down,0.1039
1771422621.77606,Key.right,0.0157
1771422621.8243454,j,0.0483
1771422621.8365088,m,0.0122
1771422621.912952,Key.home,0.0764
1771422621.9344866,t,0.0215
1771422621.9404945,Key.down,0.006
1771422621.9992895,Key.right,0.0588
1771422622.0607355,j,0.0614
1771422622.1095252,m,0.0488
1771422622.1529856,Key.home,0.0435
1771422622.2070022,t,0.054
1771422622.2110026,f,0.004
1771422622.213003,Key.down,0.002
1771422622.258183,Key.right,0.0452
1771422622.3718982,j,0.1137
1771422622.3768978,Key.home,0.005
1771422622.3929,Key.space,0.016
1771422622.4581873,Key.down,0.0653
1771422622.4970584,Key.right,0.0389
1771422622.5520618,Key.up,0.055
1771422622.5629063,f,0.0108
1771422622.5658987,y,0.003
1771422622.6209202,Key.home,0.055
1771422622.6611235,j,0.0402
1771422622.6661239,Key.space,0.005
1771422622.7265856,Key.down,0.0605
1771422622.7438016,Key.right,0.0172
1771422622.7818148,t,0.038
1771422622.8741207,Key.home,0.0923
1771422622.9689333,Key.down,0.0948
1771422622.97281,Key.space,0.0039
1771422623.0125468,Key.right,0.0397
1771422623.03312,f,0.0206
1771422623.059584,g,0.0265
1771422623.1817307,Key.home,0.1221
1771422623.2070131,Key.left,0.0253
1771422623.2458243,Key.space,0.0388
1771422623.300239,Key.right,0.0544
1771422623.3282366,Key.down,0.028
1771422623.3562915,Key.up,0.0281
1771422623.3829558,f,0.0267
1771422623.3878744,g,0.0049
1771422623.4480257,Key.home,0.0602
1771422623.5089273,Key.space,0.0609
1771422623.5896618,Key.end,0.0807
1771422623.644973,f,0.0553
1771422623.6500044,Key.right,0.005
1771422623.766673,g,0.1167
1771422623.772037,Key.up,0.0054
1771422623.8154573,Key.space,0.0434
1771422623.8926275,Key.enter,0.0772
1771422624.0266175,r,0.134
1771422624.0386894,Key.right,0.0121
1771422624.15293,Key.space,0.1142
1771422624.19027,Key.shift_r,0.0373
1771422624.4366117,Key.space,0.2463
1771422624.6616654,Key.space,0.2251
1771422624.843571,Key.shift_r,0.1819
1771422624.9322274,Key.enter,0.0887
1771422625.1554396,Key.enter,0.2232
1771422625.246514,Key.enter,0.0911
1771422625.3642373,Key.enter,0.1177
1771422625.4489791,Key.enter,0.0847
1771422625.5390053,Key.enter,0.09
1771422625.5650191,Key.right,0.026
1771422625.6631303,Key.enter,0.0981
1771422625.7677462,Key.enter,0.1046
1771422625.7930171,Key.space,0.0253
1771422625.8964608,Key.enter,0.1034
1771422625.9848838,Key.enter,0.0884
1771422626.0171764,Key.space,0.0323
1771422626.0778441,Key.enter,0.0607
1771422626.1677718,Key.enter,0.0899
1771422626.213941,Key.space,0.0462
1771422626.2736158,Key.enter,0.0597
1771422626.3828795,f,0.1093
1771422626.4218726,g,0.039
1771422626.644359,Key.home,0.2225
1771422626.819315,j,0.175
1771422626.9055624,Key.right,0.0862
1771422627.0629797,j,0.1574
1771422627.09209,Key.left,0.0291
1771422627.2588825,Key.up,0.1668
1771422627.2711747,f,0.0123
1771422627.3684597,g,0.0973
1771422627.4074593,Key.home,0.039
1771422627.44597,j,0.0385
1771422627.5326755,Key.down,0.0867
1771422627.5381794,Key.insert,0.0055
1771422627.61016,f,0.072
1771422627.6652308,Key.home,0.0551
1771422627.6919098,j,0.0267
1771422627.7840536,Key.down,0.0921
1771422627.8275745,f,0.0435
1771422627.8345664,g,0.007
1771422627.9046822,Key.home,0.0701
1771422627.9476326,j,0.043
1771422628.117723,Key.home,0.1701
1771422628.147341,g,0.0296
1771422628.2175186,k,0.0702
1771422628.3144958,Key.home,0.097
1771422628.3410325,g,0.0265
1771422628.3640404,h,0.023
1771422628.4896493,j,0.1256
1771422628.5498111,Key.home,0.0602
1771422628.593897,f,0.0441
1771422628.5981033,g,0.0042
1771422628.6161115,Key.right,0.018
1771422628.6191018,Key.page_up,0.003
1771422628.7409682,j,0.1219
1771422628.766976,Key.space,0.026
1771422628.9932036,Key.backspace,0.2262
1771422629.196318,Key.backspace,0.2031
1771422629.3484733,Key.backspace,0.1522
1771422629.5138276,Key.backspace,0.1654
1771422629.640179,Key.backspace,0.1264
1771422629.8597462,Key.backspace,0.2196
1771422630.068119,Key.backspace,0.2084
1771422630.1721923,Key.backspace,0.1041
1771422630.2871165,Key.backspace,0.1149
1771422630.5029662,Key.backspace,0.2158
1771422630.7230368,Key.backspace,0.2201
1771422630.8208346,Key.backspace,0.0978
1771422630.9379807,Key.backspace,0.1171
1771422631.0387998,Key.backspace,0.1008
1771422631.1713326,Key.backspace,0.1325
1771422631.2806032,Key.backspace,0.1093
1771422631.40419,Key.backspace,0.1236
1771422631.5156806,Key.backspace,0.1115
1771422631.6355107,Key.backspace,0.1198
1771422631.7452064,Key.backspace,0.1097
1771422631.8768065,Key.backspace,0.1316
1771422631.9851148,Key.backspace,0.1083
1771422632.0947788,Key.backspace,0.1097
1771422634.0692086,Key.ctrl_l,1.9744
1771422634.2007911,,0.1316
1771422634.6001172,Key.backspace,0.3993
1771422635.2971303,d,0.697
1771422635.3416963,k,0.0446
1771422635.3913906,f,0.0497
1771422635.4995484,g,0.1082
1771422635.526303,b,0.0268
1771422635.6252275,x,0.0989
